「	zza
『	zzaj
」	zzb
』	zzbj
℅	zzcho
∞	zzdd
♀	zzdz
〈	zze
《	zzee
≦	zzep
〉	zzf
》	zzff
≧	zzfp
﹙	zzg
﹚	zzh
×	zzhg
※	zzhgi
≠	zzhp
∴	zziia
∵	zziic
⋯	zziii
【	zzik
÷	zzimi
≒	zzipi
】	zzjk
△	zzkj
▲	zzkk
“	zzkkh
〡	zzl
¢	zzlc
〢	zzll
〣	zzlll
☆	zzmj
★	zzmk
Ⅱ	zzn
Ⅷ	zzn
Ⅸ	zzn
Ⅲ	zzn
Ⅳ	zzn
Ⅵ	zzn
Ⅶ	zzn
↓	zznc
←	zznd
♂	zznda
→	zzne
↖	zznf
↙	zzng
↗	zznh
↘	zzni
◇	zznj
◆	zznk
①	zzo
②	zzo
③	zzo
④	zzo
⑤	zzo
⑥	zzo
⑦	zzo
⑧	zzo
⑨	zzo
⑩	zzo
◎	zzod
☉	zzoi
○	zzoj
●	zzok
⊕	zzoz
⊿	zzp
≡	zzpm
。	zzq
℃	zzqcf
°	zzqf
℉	zzqff
∠	zzr
□	zzrj
■	zzrk
∫	zzs
∮	zzsd
§	zzss
⑴	zzv
⑵	zzv
⑶	zzv
⑷	zzv
⑸	zzv
⑹	zzv
⑺	zzv
⑻	zzv
⑼	zzv
⑽	zzv
∪	zzw
∩	zzx
〦	zzy
▽	zzyj
▼	zzyk
〧	zzym
〨	zzymm
¥	zzyp
£	zzz
┘	zzzfh
┐	zzzfp
┤	zzzfx
└	zzzhn
┴	zzzhv
±	zzzm
┌	zzznp
├	zzznx
┬	zzzpv
─	zzzv
┼	zzzvx
│	zzzx
